# WerkstattArchiv Log-Datei
# Diese Datei wird automatisch beim Programmstart erstellt
# Alle wichtigen Events werden hier protokolliert

[2025-11-14 20:32:42] INFO     | Profil 'Mit Kundennummer' geladen
[2025-11-14 20:33:06] INFO     | Profil 'Detail' geladen
[2025-11-14 20:33:09] INFO     | Profil 'Standard' geladen
[2025-11-14 20:33:50] INFO     | Anwendung wird beendet
[2025-11-14 20:33:57] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:33:57] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:33:58] INFO     | Log-System gestartet
[2025-11-14 20:34:10] INFO     | Anwendung wird beendet
[2025-11-14 20:41:32] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:41:32] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:41:33] INFO     | Log-System gestartet
[2025-11-14 20:41:43] INFO     | Anwendung wird beendet
[2025-11-14 20:43:44] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:43:45] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:43:46] INFO     | Log-System gestartet
[2025-11-14 20:47:58] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:47:58] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:47:59] INFO     | Log-System gestartet
[2025-11-14 20:49:01] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:49:02] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:49:03] INFO     | Log-System gestartet
[2025-11-14 20:49:13] INFO     | Anwendung wird beendet
[2025-11-14 20:49:27] INFO     | Anwendung wird beendet
[2025-11-14 20:50:23] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:50:23] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:50:24] INFO     | Log-System gestartet
[2025-11-14 20:51:42] INFO     | Anwendung wird beendet
[2025-11-14 20:53:36] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:53:36] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:53:38] INFO     | Log-System gestartet
[2025-11-14 20:53:47] INFO     | Anwendung wird beendet
[2025-11-14 20:56:53] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 20:56:54] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 20:56:55] INFO     | Log-System gestartet
[2025-11-14 20:57:05] INFO     | Anwendung wird beendet
[2025-11-14 21:00:12] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:00:13] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:00:14] INFO     | Log-System gestartet
[2025-11-14 21:09:22] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:09:22] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:09:24] INFO     | Log-System gestartet
[2025-11-14 21:09:35] INFO     | Anwendung wird beendet
[2025-11-14 21:09:38] INFO     | Anwendung wird beendet
[2025-11-14 21:12:19] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:12:20] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:12:21] INFO     | Log-System gestartet
[2025-11-14 21:13:23] INFO     | Anwendung wird beendet
[2025-11-14 21:13:30] INFO     | Erstelle Einstellungen-Tab
[2025-11-14 21:13:31] SUCCESS  | Einstellungen-Tab erstellt (5 Pfad-Felder)
[2025-11-14 21:13:32] INFO     | Log-System gestartet
[2025-11-14 21:13:56] INFO     | Anwendung wird beendet
[2025-11-14 21:15:17] INFO     | Erstelle Einstellungen-Tab
